F.W.BELL,MODEL 9550,V1.1;
, average for 10 datapoints
V = 0.0, A = 0.0
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.0,2.2615
100,2.2629999999999995
200,2.262
300,2.2617
400,2.2603999999999997
500,2.2604999999999995
600,2.259
700,2.2585
800,2.2576000000000005
900,2.257
1000,2.2558999999999996
1100,2.255
1200,2.2537
1300,2.2535
1400,2.2527999999999997
1500,2.252
1600,2.2509
1700,2.2502
1800,2.2488
2000,2.2469
2100,2.2455
2200,2.2449000000000003
2300,2.2441000000000004
2400,2.2430999999999996
2500,2.2422
2600,2.241
2700,2.2403
2800,2.2385
2900,2.2379000000000002
3000,2.2368000000000006
3100,2.2362
3200,2.2348
3300,2.2333000000000003
3400,2.232
3500,2.2311
3600,2.2297
3700,2.2288
3800,2.2274
3900,2.2257000000000007
4000,2.225
4100,2.2233
4200,2.2222
4300,2.2209000000000003
4400,2.2191
4500,2.2178999999999998
4600,2.2165000000000004
4700,2.215
4800,2.2133000000000003
4900,2.2119
5000,2.2102
5100,2.2086999999999994
5200,2.2070999999999996
5300,2.2058999999999997
5400,2.2037000000000004
5500,2.2030000000000003
5600,2.2013000000000003
5700,2.1995999999999998
5800,2.1975
5900,2.196
6000,2.1942
6100,2.1931000000000003
6200,2.1907000000000005
6300,2.1889
6400,2.1874000000000002
6500,2.186
6600,2.1835999999999998
6700,2.1819999999999995
6800,2.1797
6900,2.1786
7000,2.176
7100,2.1742999999999997
7200,2.1722
7300,2.1710000000000003
7400,2.1681999999999997
7500,2.1661
7600,2.1643000000000003
7700,2.1623
7800,2.1602
7900,2.1581
8000,2.1562
8100,2.1547
8200,2.1513999999999998
8300,2.1491
8400,2.1472999999999995
8500,2.1452999999999998
8600,2.1428000000000003
8700,2.1403999999999996
8800,2.1384999999999996
8900,2.1364
9000,2.1335
9100,2.1308000000000002
9200,2.1292
9300,2.1270000000000002
9400,2.1236
9500,2.1219
9600,2.1192300000000004
9700,2.1172
9800,2.1141000000000005
9900,2.112
10000,2.1094999999999997
10100,2.1076
10200,2.104
10300,2.1015
10400,2.0991
10500,2.0971
10600,2.0936
10700,2.0914
10800,2.0888999999999998
10900,2.0864
11000,2.0838
11100,2.0811
11200,2.0784
11300,2.0759
11400,2.0726
11500,2.0703
11600,2.0675
11700,2.0652999999999997
11800,2.0622
11900,2.0591
12000,2.0563
12100,2.0543
12200,2.0509000000000004
12300,2.0481000000000003
12400,2.0455999999999994
12500,2.0435000000000003
12600,2.0397000000000003
12700,2.0374999999999996
12800,2.0340999999999996
12900,2.0315000000000003
13000,2.0284
13100,2.0253
13200,2.0225999999999997
13300,2.0214999999999996
13400,2.0172
13500,2.0141999999999998
13600,2.0117000000000003
13700,2.0098
13800,2.0056
13900,2.0029
14000,1.9997
14100,1.9983
14200,1.9927000000000004
14300,1.9904
14400,1.9877000000000002
14500,1.9862000000000002
14600,1.9814
14700,1.9792999999999998
14800,1.9758
14900,1.9744
15000,1.9698999999999998
15100,1.9672999999999998
15200,1.9645999999999997
15300,1.9627000000000003
15400,1.9584
15500,1.9561
15600,1.9533999999999998
15700,1.9513999999999996
15800,1.9479
15900,1.9451

