F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 2.003, A = 0.557
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.
0,nan
100,nan
200,nan
300,nan
400,nan
500,nan
600,nan
700,nan
800,nan
900,nan
1000,nan
1100,nan
1200,nan
1300,nan
1400,nan
1500,nan
1600,nan
1700,nan
1800,nan
1900,nan
2000,nan
2100,nan
2200,nan
2300,nan
2400,nan
2500,nan
2600,nan
2700,nan
2800,nan
2900,nan
3000,nan
3100,nan
3200,nan
3300,nan
3400,nan
3500,nan
3600,nan
3700,nan
3800,nan
3900,nan
4000,nan
4100,nan
4200,nan
4300,nan
4400,nan
4500,nan
4600,nan
4700,nan
4800,nan
4900,nan
5000,nan
5100,nan
5200,nan
5300,nan
5400,nan
5500,nan
5600,nan
5700,nan
5800,nan
5900,nan
6000,nan
6100,nan
6200,nan
6300,nan
6400,nan
6500,nan
6600,nan
6700,nan
6800,nan
6900,nan
7000,nan
7100,nan
7200,nan
7300,nan
7400,nan
7500,nan
7600,nan
7700,nan
7800,nan
7900,nan
8000,nan
8100,nan
8200,nan
8300,nan
8400,nan
8500,nan
8600,nan
8700,nan
8800,nan
8900,nan
9000,nan
9100,nan
9200,nan
9300,nan
9400,nan
9500,nan
9600,nan
9700,nan
9800,nan
9900,nan
10000,nan
10100,nan
10200,nan
10300,nan
10400,nan
10500,nan
10600,nan
10700,nan
10800,nan
10900,nan
11000,nan
11100,nan
11200,nan
11300,nan
11400,nan
11500,nan
11600,nan
11700,nan
11800,nan
11900,nan
12000,nan
12100,nan
12200,nan
12300,nan
12400,nan
12500,nan
12600,nan
12700,nan
12800,nan
12900,nan
13000,nan
13100,nan
13200,nan
13300,nan
13400,nan
13500,nan
13600,nan
13700,nan
13800,nan
13900,nan
14000,nan
14100,nan
14200,nan
14300,nan
14400,nan
14500,nan
14600,nan
14700,nan
14800,nan
14900,nan
15000,nan
15100,nan
15200,nan
15300,nan
15400,nan
15500,nan
15600,nan
15700,nan
15800,nan
15900,nan

